"Product","Product Index","Reactant 1 sequence index","Reactant 1","Reactant 2 sequence index","Reactant 2","Molecular Weight","Molecular Formula"
"n1n(cc(n1)CN2CCCN(CC2)Cc3ccc(cc3)C=O)-c4cccc5c4CN(C5=O)C6CCC(NC6=O)=O",0,0,"C#CCN1CCCN(Cc2ccc(C=O)cc2)CC1",0,"[N-]=[N+]=Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O",541.2437524720008,"C29H31N7O4"
"n1n(cc(n1)CN2CCCN(CC2)Cc3ccc(cc3)C=O)-c4cccc5c4C(=O)N(C5=O)C6CCC(NC6=O)=O",0,0,"C#CCN1CCCN(Cc2ccc(C=O)cc2)CC1",1,"[N-]=[N+]=Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O",555.2230170280008,"C29H29N7O5"
"n1n(cc(n1)CN2CCCN(CC2)Cc3ccc(cc3)C=O)-c4cc5c(cc4F)C(=O)N(C5=O)C6CCC(NC6=O)=O",0,0,"C#CCN1CCCN(Cc2ccc(C=O)cc2)CC1",2,"[N-]=[N+]=Nc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O",573.2135952160008,"C29H28FN7O5"
"n1n(cc(n1)CN2CCCN(CC2)Cc3ccc(cc3)C=O)-c4ccc5c(c4)C(=O)N(C5=O)C6CCC(NC6=O)=O",0,0,"C#CCN1CCCN(Cc2ccc(C=O)cc2)CC1",3,"[N-]=[N+]=Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O",555.2230170280008,"C29H29N7O5"
"n1n(cc(n1)CN2CCN(CC2)Cc3ccc(cc3)C=O)-c4cccc5c4CN(C5=O)C6CCC(NC6=O)=O",0,1,"C#CCN1CCN(Cc2ccc(C=O)cc2)CC1",0,"[N-]=[N+]=Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O",527.2281024080007,"C28H29N7O4"
"n1n(cc(n1)CN2CCN(CC2)Cc3ccc(cc3)C=O)-c4cccc5c4C(=O)N(C5=O)C6CCC(NC6=O)=O",0,1,"C#CCN1CCN(Cc2ccc(C=O)cc2)CC1",1,"[N-]=[N+]=Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O",541.2073669640007,"C28H27N7O5"
"n1n(cc(n1)CN2CCN(CC2)Cc3ccc(cc3)C=O)-c4cc5c(cc4F)C(=O)N(C5=O)C6CCC(NC6=O)=O",0,1,"C#CCN1CCN(Cc2ccc(C=O)cc2)CC1",2,"[N-]=[N+]=Nc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O",559.1979451520008,"C28H26FN7O5"
"n1n(cc(n1)CN2CCN(CC2)Cc3ccc(cc3)C=O)-c4ccc5c(c4)C(=O)N(C5=O)C6CCC(NC6=O)=O",0,1,"C#CCN1CCN(Cc2ccc(C=O)cc2)CC1",3,"[N-]=[N+]=Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O",541.2073669640007,"C28H27N7O5"
"n1n(cc(n1)CN2CCC3(C2)CCN(C3)Cc4ccc(cc4)C=O)-c5cccc6c5CN(C6=O)C7CCC(NC7=O)=O",0,2,"C#CCN1CCC2(CCN(Cc3ccc(C=O)cc3)C2)C1",0,"[N-]=[N+]=Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O",567.259402536001,"C31H33N7O4"
"n1n(cc(n1)CN2CCC3(C2)CCN(C3)Cc4ccc(cc4)C=O)-c5cccc6c5C(=O)N(C6=O)C7CCC(NC7=O)=O",0,2,"C#CCN1CCC2(CCN(Cc3ccc(C=O)cc3)C2)C1",1,"[N-]=[N+]=Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O",581.2386670920009,"C31H31N7O5"
